candidate_id,reviewer_role,feedback_text,date
Candidate_1,recruiter,Good communication,2025-08-10
Candidate_2,recruiter,Average skills,2025-08-10
Candidate_3,recruiter,Needs improvement,2025-08-10
Candidate_4,recruiter,Average skills,2025-08-10
Candidate_5,recruiter,Good communication,2025-08-10
Candidate_6,recruiter,Needs improvement,2025-08-10
Candidate_7,recruiter,Average skills,2025-08-10
Candidate_8,recruiter,Needs improvement,2025-08-10
Candidate_9,recruiter,Good communication,2025-08-10
Candidate_10,recruiter,Needs improvement,2025-08-10
Candidate_11,recruiter,Average skills,2025-08-10
Candidate_12,recruiter,Needs improvement,2025-08-10
Candidate_13,recruiter,Average skills,2025-08-10
Candidate_14,recruiter,Needs improvement,2025-08-10
Candidate_15,recruiter,Needs improvement,2025-08-10
Candidate_16,recruiter,Good communication,2025-08-10
Candidate_17,recruiter,Good communication,2025-08-10
Candidate_18,recruiter,Needs improvement,2025-08-10
Candidate_19,recruiter,Needs improvement,2025-08-10
Candidate_20,recruiter,Good communication,2025-08-10
Candidate_21,recruiter,Good communication,2025-08-10
Candidate_22,recruiter,Average skills,2025-08-10
Candidate_23,recruiter,Needs improvement,2025-08-10
Candidate_24,recruiter,Average skills,2025-08-10
Candidate_25,recruiter,Average skills,2025-08-10
Candidate_26,recruiter,Needs improvement,2025-08-10
Candidate_27,recruiter,Average skills,2025-08-10
Candidate_28,recruiter,Needs improvement,2025-08-10
Candidate_29,recruiter,Average skills,2025-08-10
Candidate_30,recruiter,Good communication,2025-08-10
Candidate_31,recruiter,Average skills,2025-08-10
Candidate_32,recruiter,Good communication,2025-08-10
Candidate_33,recruiter,Good communication,2025-08-10
Candidate_34,recruiter,Good communication,2025-08-10
Candidate_35,recruiter,Good communication,2025-08-10
Candidate_36,recruiter,Average skills,2025-08-10
Candidate_37,recruiter,Good communication,2025-08-10
Candidate_38,recruiter,Average skills,2025-08-10
Candidate_39,recruiter,Good communication,2025-08-10
Candidate_40,recruiter,Needs improvement,2025-08-10
